name,subs_million,categories,ha-link
MrBeast,148.1,Video games,https://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
PewDiePie,111.6,Animation,https://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
WWE,94.5,Video games,https://www.youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
Dude Perfect,59.3,Video games,https://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ
Movieclips,59.1,Movies,https://www.youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg
Marshmello,56.3,Music & Dance,https://www.youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ
LooLoo Kids - Nursery Rhymes and Children's Songs,53.4,Music & Dance,https://www.youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w
Ed Sheeran,53.2,Music & Dance,https://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A
Taylor Swift,51.5,Music & Dance,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g
BRIGHT SIDE,44.6,Animation,https://www.youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw
Alan Walker,43.1,Music & Dance,https://www.youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ
TheEllenShow,38.3,null,https://www.youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ
Ozuna,36.1,Music & Dance,https://www.youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA
YouTube,35.7,null,https://www.youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ
Markiplier,34.8,Animation,https://www.youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
SSSniperWolf,33.5,Humor,https://www.youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ
MrBeast Gaming,32.1,Animation,https://www.youtube.com/channel/UCIPPMRA040LQr5QPyJEbmXA
DisneyMusicVEVO,32.1,Music & Dance,https://www.youtube.com/channel/UCgwv23FVv3lqh567yagXfNg
The Weeknd,32,Music & Dance,https://www.youtube.com/channel/UC0WP5P-ufpRfjbNrmOWwLBQ
Dream,31.6,Video games,https://www.youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w
The Tonight Show Starring Jimmy Fallon,31.1,Movies,https://www.youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g
Lucas and Marcus,30.3,Animation,https://www.youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA
Ultra Records,29.5,Music & Dance,https://www.youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA
jacksepticeye,29.4,Video games,https://www.youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g
The Late Late Show with James Corden,28.2,Animation,https://www.youtube.com/channel/UCJ0uqCI0Vqr2Rrt1HseGirg
Drake,27.9,Music & Dance,https://www.youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ
Wiz Khalifa,27.3,Music & Dance,https://www.youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A
ToyPuddingTV,27.2,null,https://www.youtube.com/channel/UCKqx9r4mrFglauNBJc1L_eg
DanTDM,26.8,Video games,https://www.youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw
JYP Entertainment,26.8,Music & Dance,https://www.youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg
WORLDSTARHIPHOP,26.5,Music & Dance,https://www.youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ
Netflix,26.3,Movies,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw
Brent Rivera,26.1,Video games,https://www.youtube.com/channel/UC56D-IHcUvLVFTX_8NpQMXg
VanossGaming,25.9,Animation,https://www.youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g
Post Malone,25.2,Music & Dance,https://www.youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ
WatchMojo.com,25.1,Movies,https://www.youtube.com/channel/UCaWd5_7JhbQBe4dknZhsHJg
Smosh,25.1,Movies,https://www.youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg
Coldplay,24.8,Music & Dance,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw
Chloe Ting,24.5,Fitness,https://www.youtube.com/channel/UCCgLoMYIyP0U56dEhEL1wXQ
Collins Key,24,DIY & Life Hacks,https://www.youtube.com/channel/UC7TTtOQKMXTWWMtWQMIgVSA
James Charles,23.9,Beauty,https://www.youtube.com/channel/UCucot-Zp428OwkyRm2I7v2Q
Mark Rober,23.8,Science & Technology,https://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg
Ninja,23.7,Animation,https://www.youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ
Beast Reacts,23.7,null,https://www.youtube.com/channel/UCUaT_39o1x6qWjz7K2pWcgw
NichLmao,23.7,Daily vlogs,https://www.youtube.com/channel/UC6VAIqNQBc7ggiqvsOHOBqw
