name,subs,categories,ha-link
MrBeast,148.1M,Video games,https://hypeauditor.com/youtube/UCX6OQ3DkcsbYNE6H8uQQuVA/
PewDiePie,111.6M,Animation,https://hypeauditor.com/youtube/UC-lHJZR3Gqxm24_Vd_AJ5Yw/
WWE,94.5M,Video games,https://hypeauditor.com/youtube/UCJ5v_MCY6GNUBTO8-D3XoAg/
Dude Perfect,59.3M,Video games,https://hypeauditor.com/youtube/UCRijo3ddMTht_IHyNSNXpNQ/
Movieclips,59.1M,Movies,https://hypeauditor.com/youtube/UC3gNmTGu-TTbFPpfSs5kNkg/
Marshmello,56.3M,Music & Dance,https://hypeauditor.com/youtube/UCEdvpU2pFRCVqU6yIPyTpMQ/
LooLoo Kids - Nursery Rhymes and Children's Songs,53.4M,Music & Dance,https://hypeauditor.com/youtube/UC4NALVCmcmL5ntpV0thoH6w/
Ed Sheeran,53.2M,Music & Dance,https://hypeauditor.com/youtube/UC0C-w0YjGpqDXGB8IHb662A/
Taylor Swift,51.5M,Music & Dance,https://hypeauditor.com/youtube/UCqECaJ8Gagnn7YCbPEzWH6g/
BRIGHT SIDE,44.6M,Animation,https://hypeauditor.com/youtube/UC4rlAVgAK0SGk-yTfe48Qpw/
Alan Walker,43.1M,Music & Dance,https://hypeauditor.com/youtube/UCJrOtniJ0-NWz37R30urifQ/
TheEllenShow,38.3M,null,https://hypeauditor.com/youtube/UCp0hYYBW6IMayGgR-WeoCvQ/
Ozuna,36.1M,Music & Dance,https://hypeauditor.com/youtube/UCjIA3wwhi0QjSOXAZwOXbPA/
YouTube,35.7M,null,https://hypeauditor.com/youtube/UCBR8-60-B28hp2BmDPdntcQ/
Markiplier,34.8M,Animation,https://hypeauditor.com/youtube/UC7_YxT-KID8kRbqZo7MyscQ/
SSSniperWolf,33.5M,Humor,https://hypeauditor.com/youtube/UCpB959t8iPrxQWj7G6n0ctQ/
MrBeast Gaming,32.1M,Animation,https://hypeauditor.com/youtube/UCIPPMRA040LQr5QPyJEbmXA/
DisneyMusicVEVO,32.1M,Music & Dance,https://hypeauditor.com/youtube/UCgwv23FVv3lqh567yagXfNg/
The Weeknd,32M,Music & Dance,https://hypeauditor.com/youtube/UC0WP5P-ufpRfjbNrmOWwLBQ/
Dream,31.6M,Video games,https://hypeauditor.com/youtube/UCTkXRDQl0luXxVQrRQvWS6w/
The Tonight Show Starring Jimmy Fallon,31.1M,Movies,https://hypeauditor.com/youtube/UC8-Th83bH_thdKZDJCrn88g/
Lucas and Marcus,30.3M,Animation,https://hypeauditor.com/youtube/UCwD4x63A9KC7Si2RuSfg-SA/
Ultra Records,29.5M,Music & Dance,https://hypeauditor.com/youtube/UC4rasfm9J-X4jNl9SvXp8xA/
jacksepticeye,29.4M,Video games,https://hypeauditor.com/youtube/UCYzPXprvl5Y-Sf0g4vX-m6g/
The Late Late Show with James Corden,28.2M,Animation,https://hypeauditor.com/youtube/UCJ0uqCI0Vqr2Rrt1HseGirg/
Drake,27.9M,Music & Dance,https://hypeauditor.com/youtube/UCByOQJjav0CUDwxCk-jVNRQ/
Wiz Khalifa,27.3M,Music & Dance,https://hypeauditor.com/youtube/UCVp3nfGRxmMadNDuVbJSk8A/
ToyPuddingTV,27.2M,null,https://hypeauditor.com/youtube/UCKqx9r4mrFglauNBJc1L_eg/
DanTDM,26.8M,Video games,https://hypeauditor.com/youtube/UCS5Oz6CHmeoF7vSad0qqXfw/
JYP Entertainment,26.8M,Music & Dance,https://hypeauditor.com/youtube/UCaO6TYtlC8U5ttz62hTrZgg/
WORLDSTARHIPHOP,26.5M,Music & Dance,https://hypeauditor.com/youtube/UC-yXuc1__OzjwpsJPlxYUCQ/
Netflix,26.3M,Movies,https://hypeauditor.com/youtube/UCWOA1ZGywLbqmigxE4Qlvuw/
Brent Rivera,26.1M,Video games,https://hypeauditor.com/youtube/UC56D-IHcUvLVFTX_8NpQMXg/
VanossGaming,25.9M,Animation,https://hypeauditor.com/youtube/UCKqH_9mk1waLgBiL2vT5b9g/
Post Malone,25.2M,Music & Dance,https://hypeauditor.com/youtube/UCeLHszkByNZtPKcaVXOCOQQ/
WatchMojo.com,25.1M,Movies,https://hypeauditor.com/youtube/UCaWd5_7JhbQBe4dknZhsHJg/
Smosh,25.1M,Movies,https://hypeauditor.com/youtube/UCY30JRSgfhYXA6i6xX1erWg/
